Date,BTC-OPEN,BTC-HIGH,BTC-LOW,BTC-CLOSE,BTC-ADJ CLOSE,BTC-VOLUME,ETH-OPEN,ETH-HIGH,ETH-LOW,ETH-CLOSE,ETH-ADJ CLOSE,ETH-VOLUME,XRP-OPEN,XRP-HIGH,XRP-LOW,XRP-CLOSE,XRP-ADJ CLOSE,XRP-VOLUME
2017-12-01,10198.599609,11046.700195,9694.650391,10975.599609,10975.599609,6783119872,445.209015,472.609009,428.312012,466.540009,466.540009,1247879936,0.250352,0.258828,0.239438,0.255699,0.255699,182992000
2017-12-02,10978.299805,11320.200195,10905.099609,11074.599609,11074.599609,5138500096,466.851013,476.239014,456.653015,463.449005,463.449005,943649984,0.255656,0.259218,0.250756,0.255492,0.255492,118250000
2017-12-03,11082.700195,11858.700195,10862.0,11323.200195,11323.200195,6608309760,463.704987,482.813995,451.85199,465.852997,465.852997,990556992,0.25553,0.263072,0.247391,0.252558,0.252558,134710000
2017-12-04,11315.400391,11657.200195,11081.799805,11657.200195,11657.200195,6132409856,466.053986,474.777008,453.312012,470.20401,470.20401,1005550016,0.252919,0.255362,0.24716,0.253571,0.253571,104650000
2017-12-05,11685.700195,12032.0,11604.599609,11916.700195,11916.700195,6895260160,470.294006,473.558014,457.660004,463.281006,463.281006,1216720000,0.253598,0.253988,0.245234,0.246101,0.246101,174591008
2017-12-06,11923.400391,14369.099609,11923.400391,14291.5,14291.5,12656300032,462.604004,462.708008,420.209991,428.588013,428.588013,1998259968,0.245416,0.245705,0.227742,0.232544,0.232544,274526016
2017-12-07,14266.099609,17899.699219,14057.299805,17899.699219,17899.699219,17950699520,426.368988,441.397003,414.411011,434.40799,434.40799,2129570048,0.232623,0.23376,0.22134,0.222823,0.222823,275204992
2017-12-08,17802.900391,18353.400391,14336.900391,16569.400391,16569.400391,21135998976,434.989014,466.062012,422.367004,456.031006,456.031006,2336379904,0.223636,0.278673,0.222168,0.252125,0.252125,660172032
2017-12-09,16523.300781,16783.0,13674.900391,15178.200195,15178.200195,13911300096,457.343994,504.147003,456.252991,473.502014,473.502014,2003849984,0.252162,0.255684,0.240073,0.244708,0.244708,205288992
2017-12-10,15168.400391,15850.599609,13226.599609,15455.400391,15455.400391,13433299968,472.789001,472.789001,429.514008,441.721008,441.721008,1404179968,0.245548,0.245548,0.229304,0.237333,0.237333,198174000
2017-12-11,15427.400391,17513.900391,15404.799805,16936.800781,16936.800781,12153900032,440.358002,516.968994,439.104004,515.135986,515.135986,1771440000,0.236574,0.252777,0.235804,0.251691,0.251691,176100992
2017-12-12,16919.800781,17781.800781,16571.599609,17415.400391,17415.400391,14603799552,522.286011,657.317993,504.493988,651.43103,651.43103,5179829760,0.252258,0.434102,0.250961,0.373541,0.373541,1555040000
2017-12-13,17500.0,17653.099609,16039.700195,16408.199219,16408.199219,12976900096,644.906006,747.992981,597.797974,702.767029,702.767029,4524539904,0.372689,0.513768,0.342964,0.471063,0.471063,2738759936
2017-12-14,16384.599609,17085.800781,16185.900391,16564.0,16564.0,13777399808,700.593994,753.120972,664.989014,695.815979,695.815979,3821580032,0.470648,0.892267,0.466401,0.864263,0.864263,6358700032
2017-12-15,16601.300781,18154.099609,16601.300781,17706.900391,17706.900391,14309999616,696.375977,697.132019,621.060974,684.447998,684.447998,2758710016,0.86176,0.86176,0.666114,0.756181,0.756181,3194210048
2017-12-16,17760.300781,19716.699219,17515.300781,19497.400391,19497.400391,12740599808,686.192017,718.38501,680.786011,696.208984,696.208984,2165690112,0.755493,0.815923,0.741667,0.758642,0.758642,1334770048
2017-12-17,19475.800781,20089.0,18974.099609,19140.800781,19140.800781,13314599936,696.237,735.825012,696.237,719.974976,719.974976,2147389952,0.754125,0.765981,0.719929,0.728366,0.728366,805200000
2017-12-18,19106.400391,19371.0,18355.900391,19114.199219,19114.199219,14839499776,721.731995,803.927979,689.231018,794.64502,794.64502,3249230080,0.728036,0.792014,0.689323,0.778407,0.778407,1342720000
2017-12-19,19118.300781,19177.800781,17275.400391,17776.699219,17776.699219,16894499840,793.901001,881.94397,785.34198,826.822998,826.822998,4096549888,0.777447,0.863536,0.756724,0.791257,0.791257,1449670016
2017-12-20,17760.300781,17934.699219,16077.700195,16624.599609,16624.599609,22149699584,827.515991,845.062012,756.004028,819.085999,819.085999,3969939968,0.787171,0.789044,0.730953,0.775964,0.775964,1007420032
2017-12-21,16642.400391,17567.699219,15342.700195,15802.900391,15802.900391,16516599808,820.236023,880.54303,792.689026,821.062988,821.062988,3569060096,0.782515,1.23622,0.782515,1.19306,1.19306,3626109952
2017-12-22,15898.0,15943.400391,11833.0,13831.799805,13831.799805,22197999616,822.643005,827.682983,543.762024,674.859985,674.859985,4977710080,1.16651,1.37918,0.741013,1.13828,1.13828,4644700160
2017-12-23,13948.700195,15603.200195,13828.799805,14699.200195,14699.200195,13086000128,681.315979,763.89502,679.731018,719.387024,719.387024,2480339968,1.16594,1.2081,1.07611,1.17434,1.17434,1497590016
2017-12-24,14608.200195,14626.0,12747.700195,13925.799805,13925.799805,11572299776,721.768982,721.768982,614.921997,694.14801,694.14801,2300549888,1.17558,1.17558,0.911226,1.04395,1.04395,754958976
2017-12-25,13995.900391,14593.0,13448.900391,14026.599609,14026.599609,10664699904,698.869995,782.520996,698.869995,765.833984,765.833984,2491760128,1.04561,1.12852,1.00356,1.12232,1.12232,686014016
2017-12-26,14036.599609,16461.199219,14028.900391,16099.799805,16099.799805,13454300160,763.369995,786.789978,760.934998,773.835999,773.835999,2201159936,1.12174,1.19131,1.09062,1.18949,1.18949,938846976
2017-12-27,16163.5,16930.900391,15114.299805,15838.5,15838.5,12487600128,774.969971,789.252991,738.413025,762.84198,762.84198,2100029952,1.18422,1.46846,1.18234,1.39964,1.39964,2854259968
2017-12-28,15864.099609,15888.400391,13937.299805,14606.5,14606.5,12336499712,762.208008,763.31897,701.187012,737.02301,737.02301,2389149952,1.39389,1.5008,1.25865,1.43088,1.43088,2843300096
2017-12-29,14695.799805,15279.0,14307.0,14656.200195,14656.200195,13025500160,740.388977,770.117004,729.607971,753.59198,753.59198,2648969984,1.43957,2.26515,1.43658,2.2146,2.2146,7545739776
2017-12-30,14681.900391,14681.900391,12350.099609,12952.200195,12952.200195,14452599808,753.815002,753.815002,685.231018,717.257019,717.257019,3187780096,2.199,2.85453,2.03517,2.15902,2.15902,8108389888
2017-12-31,12897.700195,14377.400391,12755.599609,14156.400391,14156.400391,12136299520,712.211975,760.348022,710.119019,756.732971,756.732971,2554269952,2.0951,2.392,1.8703,2.30057,2.30057,4642079744
2018-01-01,14112.200195,14112.200195,13154.700195,13657.200195,13657.200195,10291200000,755.757019,782.530029,742.004028,772.640991,772.640991,2595760128,2.29602,2.39103,2.14897,2.39103,2.39103,1894230016
2018-01-02,13625.0,15444.599609,13163.599609,14982.099609,14982.099609,16846600192,772.346008,914.830017,772.346008,884.44397,884.44397,5783349760,2.36948,2.48919,2.24793,2.4809,2.4809,3171010048
2018-01-03,14978.200195,15572.799805,14844.5,15201.0,15201.0,16871900160,886.0,974.471008,868.450989,962.719971,962.719971,5093159936,2.4641,3.27938,2.44315,3.10537,3.10537,6635879936
2018-01-04,15270.700195,15739.700195,14522.200195,15599.200195,15599.200195,21783199744,961.713013,1045.079956,946.085999,980.921997,980.921997,6502859776,3.11734,3.84194,3.11734,3.19663,3.19663,8103660032
2018-01-05,15477.200195,17705.199219,15202.799805,17429.5,17429.5,23840899072,975.75,1075.390015,956.325012,997.719971,997.719971,6683149824,3.30081,3.56468,2.82561,3.04871,3.04871,6288500224
2018-01-06,17462.099609,17712.400391,16764.599609,17527.0,17527.0,18314600448,995.153992,1060.709961,994.622009,1041.680054,1041.680054,4662219776,3.02105,3.23656,2.98992,3.09397,3.09397,2777560064
2018-01-07,17527.300781,17579.599609,16087.700195,16477.599609,16477.599609,15866000384,1043.01001,1153.170044,1043.01001,1153.170044,1153.170044,5569880064,3.09296,3.48725,3.08382,3.37781,3.37781,2395150080
2018-01-08,16476.199219,16537.900391,14208.200195,15170.099609,15170.099609,18413899776,1158.26001,1266.930054,1016.049988,1148.530029,1148.530029,8450970112,3.36357,3.36357,2.06552,2.45621,2.45621,3315259904
2018-01-09,15123.700195,15497.5,14424.0,14595.400391,14595.400391,16659999744,1146.0,1320.97998,1145.48999,1299.73999,1299.73999,7965459968,2.44346,2.52896,1.98066,2.10178,2.10178,3694700032
2018-01-10,14588.5,14973.299805,13691.200195,14973.299805,14973.299805,18500800512,1300.339966,1417.380005,1226.599976,1255.819946,1255.819946,9214950400,2.12991,2.15887,1.69519,1.97492,1.97492,4833639936
2018-01-11,14968.200195,15018.799805,13105.900391,13405.799805,13405.799805,16534099968,1268.089966,1337.300049,1135.170044,1154.930054,1154.930054,7235899904,1.98021,2.24898,1.61527,1.9508,1.9508,6296119808
2018-01-12,13453.900391,14229.900391,13158.099609,13980.599609,13980.599609,12065699840,1158.290039,1296.040039,1120.089966,1273.199951,1273.199951,5222300160,1.94048,2.15682,1.86729,2.04323,2.04323,3330810112
2018-01-13,13952.400391,14659.5,13952.400391,14360.200195,14360.200195,12763599872,1270.469971,1432.880005,1270.469971,1396.420044,1396.420044,5746760192,2.05141,2.1187,1.98202,2.02135,2.02135,2130169984
2018-01-14,14370.799805,14511.799805,13268.0,13772.0,13772.0,11084099584,1397.47998,1400.560059,1286.209961,1366.77002,1366.77002,4841630208,2.01852,2.01852,1.81184,1.86119,1.86119,1978200064
2018-01-15,13767.299805,14445.5,13641.700195,13819.799805,13819.799805,12750799872,1365.209961,1390.589966,1290.599976,1291.920044,1291.920044,4781100032,1.85625,1.90081,1.66529,1.67673,1.67673,1838460032
2018-01-16,13836.099609,13843.099609,10194.900391,11490.5,11490.5,18853799936,1292.630005,1292.630005,875.544983,1053.689941,1053.689941,8405139968,1.67836,1.70138,0.909313,1.17924,1.17924,5687960064
2018-01-17,11431.099609,11678.0,9402.290039,11188.599609,11188.599609,18830600192,1061.339966,1090.22998,780.921997,1014.25,1014.25,8545160192,1.18368,1.37673,0.897797,1.30634,1.30634,7251210240
2018-01-18,11198.799805,12107.299805,10942.5,11474.900391,11474.900391,15020399616,1016.440002,1100.310059,967.758972,1036.280029,1036.280029,5938319872,1.30558,1.73319,1.25605,1.59658,1.59658,9110439936
2018-01-19,11429.799805,11992.799805,11172.099609,11607.400391,11607.400391,10740400128,1028.819946,1093.219971,1003.710022,1039.099976,1039.099976,4084450048,1.58217,1.70214,1.50134,1.55205,1.55205,3697430016
2018-01-20,11656.200195,13103.0,11656.200195,12899.200195,12899.200195,11801700352,1044.949951,1167.109985,1044.949951,1155.150024,1155.150024,3975190016,1.56284,1.62833,1.50274,1.57862,1.57862,2346449920
2018-01-21,12889.200195,12895.900391,11288.200195,11600.099609,11600.099609,9935179776,1155.680054,1155.680054,1021.5,1049.579956,1049.579956,3378089984,1.57623,1.57623,1.34303,1.38004,1.38004,2840750080
2018-01-22,11633.099609,11966.400391,10240.200195,10931.400391,10931.400391,10537400320,1055.349976,1089.099976,930.741028,1003.26001,1003.26001,3810099968,1.39161,1.42841,1.16308,1.35735,1.35735,2642510080
2018-01-23,10944.5,11377.599609,10129.700195,10868.400391,10868.400391,9660609536,1004.169983,1023.22998,920.539978,986.229004,986.229004,3556699904,1.35319,1.43472,1.20426,1.33707,1.33707,2977080064
2018-01-24,10903.400391,11501.400391,10639.799805,11359.400391,11359.400391,9940989952,987.47699,1062.439941,965.807983,1058.780029,1058.780029,3944039936,1.35212,1.42496,1.30784,1.35715,1.35715,1853440000
2018-01-25,11421.700195,11785.700195,11057.400391,11259.400391,11259.400391,8873169920,1063.219971,1104.660034,1034.73999,1056.030029,1056.030029,4050190080,1.36325,1.38484,1.29287,1.31223,1.31223,986067968
2018-01-26,11256.0,11656.700195,10470.299805,11171.400391,11171.400391,9746199552,1052.699951,1080.599976,996.783997,1055.170044,1055.170044,3617690112,1.30892,1.32602,1.135,1.21727,1.21727,2037570048
2018-01-27,11174.900391,11614.900391,10989.200195,11440.700195,11440.700195,7583269888,1055.75,1121.97998,1042.119995,1107.069946,1107.069946,3002870016,1.21789,1.23948,1.18944,1.21911,1.21911,689100992
2018-01-28,11475.299805,12040.299805,11475.299805,11786.299805,11786.299805,8350360064,1111.780029,1257.77002,1111.780029,1246.01001,1246.01001,5372329984,1.22389,1.43812,1.22389,1.3996,1.3996,1327360000
2018-01-29,11755.5,11875.599609,11179.200195,11296.400391,11296.400391,7107359744,1246.699951,1256.699951,1169.079956,1182.359985,1182.359985,3715079936,1.39921,1.40525,1.29913,1.32397,1.32397,1073680000
2018-01-30,11306.799805,11307.200195,10036.200195,10106.299805,10106.299805,8637859840,1184.130005,1184.630005,1058.969971,1071.130005,1071.130005,4107859968,1.32818,1.32818,1.13113,1.13856,1.13856,1134640000
2018-01-31,10108.200195,10381.599609,9777.419922,10221.099609,10221.099609,8041160192,1071.089966,1128.660034,1034.5,1118.310059,1118.310059,3757560064,1.13066,1.19093,1.03661,1.16239,1.16239,1264029952
2018-02-01,10237.299805,10288.799805,8812.280273,9170.540039,9170.540039,9959400448,1119.369995,1161.349976,984.81897,1036.790039,1036.790039,5261680128,1.16088,1.1626,0.930378,0.96253,0.96253,1410419968
2018-02-02,9142.280273,9142.280273,7796.490234,8830.75,8830.75,12726899712,1035.77002,1035.77002,757.97998,915.784973,915.784973,6713290240,0.960642,0.960642,0.635185,0.884784,0.884784,3529760000
2018-02-03,8852.120117,9430.75,8251.629883,9174.910156,9174.910156,7263790080,919.210999,991.942993,847.690002,964.018982,964.018982,3243480064,0.891992,0.974799,0.761635,0.924043,0.924043,1988960000
2018-02-04,9175.700195,9334.870117,8031.220215,8277.009766,8277.009766,7073549824,964.666992,969.031982,805.064026,834.682007,834.682007,2997090048,0.913418,0.952947,0.796821,0.815703,0.815703,1190960000
